Module,Display_Label,API_Name,Data_Type,Length,Mandatory,Unique,External_ID,Default_Value,Picklist_Source,Sync_Direction,Hermes_Column,Notes
Renewals,Name,Name,Single Line,255,Y,N,N,,,,Z-only,,"Policy_Number + Expiration_Date"
Renewals,Hermes Renewal ID,Hermes_Renewal_ID,Single Line,36,N,Y,Y,,,System,id,UUID; FK for actions/receipts
Renewals,Policy Number,Policy_Number,Single Line,100,Y,Y,N,,,AMS→Z projection,policy_number,UNIQUE natural key
Renewals,Policy,Policy,Lookup (Policies),,N,N,N,,,AMS→Z via join,,"Join on Policy_Number"
Renewals,Account Name,Account_Name,Lookup (Accounts),,N,N,N,,,AMS→Z via Policy,,
Renewals,Client Name,Client_Name,Single Line,255,Y,N,N,,,Projection / Z override,client_name,Correctable
Renewals,Expiration Date,Expiration_Date,Date,,Y,N,N,,,Projection / Z override,expiration_date,Correctable
Renewals,Premium Current,Premium_Current,Currency,16.2,N,N,N,,,Projection / Z override,premium_current,Correctable
Renewals,Premium Renewal,Premium_Renewal,Currency,16.2,N,N,N,,,Z override,premium_renewal,Correctable
Renewals,Increase Percent,Increase_Percent,Formula (Decimal),,,N,N,N,,,Derived,increase_percentage,"((Premium_Renewal-Premium_Current)/Premium_Current)*100"
Renewals,Risk Status,Risk_Status,Picklist,20,N,N,N,SAFE,picklists_hermes_vocab.csv:risk_status_renewals,Projection / Z override,risk_status,
Renewals,Strategy Notes,Strategy_Notes,Multi Line,32000,N,N,N,,,Derived / Z override,ai_strategy_notes,Correctable
Renewals,Last Contact Date,Last_Contact_Date,Date,,N,N,N,,,Z-only,last_contact_date,Correctable
Renewals,Carrier,Carrier,Single Line,150,N,N,N,,,AMS→Z via Policy,(joined),From canonical_policies
Renewals,Line of Business,Line_of_Business,Single Line,150,N,N,N,,,AMS→Z via Policy,(joined),From canonical_policies
Renewals,Effective Date,Effective_Date,Date,,N,N,N,,,AMS→Z via Policy,(joined),From canonical_policies
Renewals,Dismissed,Dismissed,Checkbox,,N,N,N,false,,Z-only override,(portal_overrides),Soft-remove; not a DB column
Renewals,Related Renewal Event,Related_Renewal_Event,Lookup (Renewal_Events),,N,N,N,,,AMS→Z via join,,"Join on Hermes_Candidate_ID / policy + event date"
Renewals,Related Deal,Related_Deal,Lookup (Deals),,N,N,N,,,Z-only,,"Optional link to Renewals pipeline Deal"
Renewals,Desk Stage,Desk_Stage,Picklist,40,N,N,N,Identified,picklists_hermes_vocab.csv:desk_stage,Z-only,,"Creator desk; never skip; default Identified on create; sync must not overwrite"
Renewals,Disposition,Disposition,Picklist,40,N,N,N,,picklists_hermes_vocab.csv:desk_disposition,Z-only,,"Required when Desk_Stage=Closed; codes from hermes/renewals/config.py"
Renewals,Recommended Action,Recommended_Action,Picklist,40,N,N,N,,picklists_hermes_vocab.csv:recommended_action,Z-only,,retain / remarket / escalate
Renewals,Days To Expiration,Days_To_Expiration,Formula (Number),,,N,N,N,,,Derived,,"Datecomp(Expiration_Date,Today); signed days until x-date"
Renewals,Window Bucket,Window_Bucket,Picklist,20,N,N,N,,picklists_hermes_vocab.csv:window_bucket,Derived,,"90 / 60 / 30 / personal / past_due — Hermes writes; personal LOB always personal"
Renewals,Touch Early,Touch_Early,Date,,N,N,N,,,Z-only,,"T-90 / T-45 / T-40 stamp only; no auto-send"
Renewals,Touch Mid,Touch_Mid,Date,,N,N,N,,,Z-only,,"T-60 stamp only; no auto-send"
Renewals,Touch Decision,Touch_Decision,Date,,N,N,N,,,Z-only,,"T-30 / T-15 stamp only; no auto-send"
Renewals,Created Time,Created_Time,DateTime,,N,N,N,,,System,created_at,
Renewals,Modified Time,Modified_Time,DateTime,,N,N,N,,,System,updated_at,
